date,long_return,short_return,total_return
2004-05-24T00:00:00,2.510433598,2.325214888,0.18521871
2004-05-25T00:00:00,0.285511835,1.014112465,-0.728600631
2004-05-26T00:00:00,0.188272665,0.566583209,-0.378310544
2004-05-27T00:00:00,0.59120276,0.418919406,0.172283354
2004-05-28T00:00:00,1.248059952,-0.272605276,1.520665228
2004-06-01T00:00:00,-0.203006432,-0.988142753,0.785136321
2004-06-02T00:00:00,-1.758911203,-2.361729295,0.602818092
2004-06-03T00:00:00,1.10294057,1.194648624,-0.091708054
2004-06-04T00:00:00,2.343608823,2.052098562,0.291510261
2004-06-07T00:00:00,0.07390128,-0.18434209,0.25824337
2004-06-08T00:00:00,-1.590823249,-2.188299987,0.597476738
2004-06-09T00:00:00,0.592118575,-0.011096375,0.60321495
2004-06-10T00:00:00,-1.976208285,-1.520111824,-0.456096461
2004-06-14T00:00:00,1.373628207,1.570269813,-0.196641606
2004-06-15T00:00:00,-0.498257878,0.04206987,-0.540327748
2004-06-16T00:00:00,-0.919539234,-0.382233667,-0.537305567
2004-06-17T00:00:00,-0.056514029,0.483305111,-0.539819141
2004-06-18T00:00:00,-0.710693989,-0.652431774,-0.058262215
2004-06-21T00:00:00,1.610392849,0.578526445,1.031866404
2004-06-22T00:00:00,1.431803504,1.954903486,-0.523099982
2004-06-23T00:00:00,-0.205901991,-0.803751786,0.597849795
2004-06-24T00:00:00,0.529019343,1.309080924,-0.780061581
2004-06-25T00:00:00,-0.213346218,-1.685868799,1.472522581
2004-06-28T00:00:00,1.080064019,1.140545527,-0.060481508
2004-06-29T00:00:00,0.59293561,0.903103473,-0.310167862
2004-06-30T00:00:00,-1.907032322,-2.281177019,0.374144698
2004-07-01T00:00:00,-0.892607204,-0.74567179,-0.146935414
2004-07-02T00:00:00,-2.710363284,-1.714407234,-0.99595605
2004-07-06T00:00:00,-0.130129309,0.229075034,-0.359204344
2004-07-07T00:00:00,-1.698537093,-0.914680069,-0.783857024
2004-07-08T00:00:00,0.987046914,0.554241213,0.432805702
2004-07-09T00:00:00,-0.989372146,-1.486137268,0.496765122
